,Name,Position,Leading Category,Points Per Game,Season Year
0,Carmelo Anthony,PF,Points,22.4,2016-2017
1,Kristaps Porzingis,C,Rebounds,7.2,2016-2017
2,Brandon Jennings,G,Assists,4.9,2016-2017
3,Courtney Lee,G,Steals,1.1,2016-2017
4,Kristaps Porzingis,C,Blocks,2.0,2016-2017
5,Enes Freedom,C,Points,14.1,2017-2018
6,Enes Freedom,C,Rebounds,11.0,2017-2018
7,Jarrett Jack,G,Assists,5.6,2017-2018
8,Courtney Lee,G,Steals,1.1,2017-2018
9,Kyle O'Quinn,C,Blocks,1.3,2017-2018
10,Emmanuel Mudiay,G,Points,14.8,2018-2019
11,Noah Vonleh,F,Rebounds,7.8,2018-2019
12,Emmanuel Mudiay,G,Assists,3.9,2018-2019
13,Mario Hezonja,F,Steals,1.0,2018-2019
14,Mitchell Robinson,C,Blocks,2.4,2018-2019
15,Julius Randle,PF,Points,19.5,2019-2020
16,Julius Randle,PF,Rebounds,9.7,2019-2020
17,Julius Randle,PF,Assists,3.1,2019-2020
18,RJ Barrett,SG,Steals,1.0,2019-2020
19,Mitchell Robinson,C,Blocks,2.0,2019-2020
20,Julius Randle,PF,Points,24.1,2020-2021
21,Julius Randle,PF,Rebounds,10.2,2020-2021
22,Julius Randle,PF,Assists,6.0,2020-2021
23,Nerlens Noel,C,Steals,1.1,2020-2021
24,Nerlens Noel,C,Blocks,2.2,2020-2021
25,Julius Randle,PF,Points,20.1,2021-2022
26,Julius Randle,PF,Rebounds,9.9,2021-2022
27,Julius Randle,PF,Assists,5.1,2021-2022
28,Alec Burks,SG,Steals,1.0,2021-2022
29,Mitchell Robinson,C,Blocks,1.8,2021-2022
